variable_name,quantity_name,proj_hva,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1->V1,23,0,3136,3671,0,0,0,23455,60172,745.4465228490999,83627
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVA->HVA,42,0,996,1161,0,0,0,15643,32674,565.440943393,48317
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,V1->HVA,15,0,921,1161,0,0,0,3509,13768,96.6508823689,17277
DELTA_ORI_CVT_MONET_FULL,LD_DENSITY_CONTROL,HVA->V1,37,0,3001,3671,0,0,0,12931,122600,277.082286433,135531
