proj_hva,delta_ori_iv.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,-0.0012990402286570044,0.0009303473119270493,inf,-0.003122487453147672,0.0005244069958336632,-1.3962959982829135,0.16262537836587598,DELTA_ORI_IV,SYNAPSE_DENSITY,0.2525423749752512
HVA->HVA,0.0005922732463827296,0.0009603648501484642,inf,-0.0012900072719264659,0.002474553764691925,0.6167169136720999,0.5374214631239671,DELTA_ORI_IV,SYNAPSE_DENSITY,0.5374214631239671
V1->HVA,-0.002597506668254008,0.0019792999761567625,inf,-0.006476863336122249,0.0012818499996142332,-1.3123360276584386,0.18940678123143842,DELTA_ORI_IV,SYNAPSE_DENSITY,0.2525423749752512
HVA->V1,-0.0023165740835107986,0.001277389990109737,inf,-0.004820212458337858,0.00018706429131626085,-1.8135214002356386,0.0697514409944124,DELTA_ORI_IV,SYNAPSE_DENSITY,0.2525423749752512
