proj_hva,readout_location_distance_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,0.03024068232510888,0.004855398350991945,inf,0.020724276426569502,0.039757088223648256,6.2282597923053595,4.716445195929469e-10,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,1.8865780783717877e-09
HVA->HVA,0.010096732168137732,0.003995984382368399,inf,0.0022647466959111393,0.017928717640364324,2.526719627005512,0.011513337547367037,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.015351116729822716
V1->HVA,-0.001916029606037944,0.009138196206962266,inf,-0.019826565055344515,0.015994505843268624,-0.20967262714037016,0.8339231910124789,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.8339231910124789
HVA->V1,-0.018430335613266853,0.007121363422600705,inf,-0.03238795144238513,-0.004472719784148583,-2.5880346949820656,0.009652525789353793,READOUT_LOCATION_DISTANCE_CVT,SYNAPSE_DENSITY,0.015351116729822716
