proj_hva_layer,readout_location_distance_sta.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1L2/3->V1L2/3,-0.000430562169345111,0.0056929063479256095,inf,-0.011588453578638754,0.01072732923994853,-0.07563134592965857,0.9397123974319777,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.9953182191847101
V1L2/3->V1L4,-0.003709736227175972,0.009182054582041261,inf,-0.02170623251205782,0.014286760057705876,-0.40402027607542945,0.6861978090858794,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.8097077786540537
V1L2/3->V1L5,-0.01679422645772284,0.005678979060627557,inf,-0.02792482088550996,-0.005663632029935724,-2.9572615567747826,0.0031038470598377956,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.03724616471805355
V1L2/3->HVAL2/3,0.015297628708778453,0.0067130243901655584,inf,0.0021403426767150017,0.028454914740841906,2.2787983209459455,0.022679056770664865,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.1731887618818221
V1L2/3->HVAL4,0.005664371594702277,0.010995597711114476,inf,-0.015886603907573148,0.027215347096977698,0.5151490390537538,0.6064488768804551,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.8085985025072735
V1L2/3->HVAL5,-0.022054052023746582,0.010091871951438066,inf,-0.04183375758515514,-0.0022743464623380255,-2.1853281660598096,0.028864793646970352,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.1731887618818221
V1L4->V1L2/3,0.022574589748263558,0.015588312268066963,inf,-0.007977940876911567,0.05312712037343868,1.4481740781205772,0.1475683722222367,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.44270511666671014
V1L4->V1L4,0.01071083801069321,0.01203855580097653,inf,-0.012884297785096525,0.034305973806482946,0.8897112068728694,0.37362097485910944,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.6404930997584732
V1L4->V1L5,0.005848067957879328,0.01352086170067174,inf,-0.020652334015384258,0.03234846993114292,0.4325218382781614,0.6653621836469836,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.8097077786540537
V1L5->V1L4,0.0058416503964354724,0.015624439113152803,inf,-0.02478168754398296,0.0364649883368539,0.3738790464176032,0.708494306322297,READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,0.8097077786540537
