proj_hva,in_vivo_sig_corr.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,1.125724432764474,0.09762195773125254,inf,0.9343889115109276,1.3170599540180203,11.531467498977296,9.156937288023609e-31,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,3.6627749152094434e-30
HVA->HVA,0.6667335726512258,0.10907129580659586,inf,0.4529577611231833,0.8805093841792683,6.112823430955392,9.788365495915848e-10,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,1.9576730991831696e-09
V1->HVA,0.8569737769237044,0.22731526868596547,inf,0.41144403716316663,1.302503516684242,3.769978945442543,0.00016326131986139626,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,0.00016326131986139626
HVA->V1,0.8605056779361782,0.15972328036263822,inf,0.5474538009328136,1.1735575549395427,5.387478118296047,7.145317157252641e-08,IN_VIVO_SIG_CORR,SYNAPSE_DENSITY,9.527089543003522e-08
