proj_hva,in_vivo_sig_corr.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,0.7789787442701077,0.025125687603113105,inf,0.7297333014812015,0.8282241870590139,31.00328064946534,4.868700470463733e-211,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.947480188185493e-210
HVA->HVA,0.6984506520130055,0.023237171538468073,inf,0.6529066326950289,0.7439946713309821,30.057472823521245,1.743693670343676e-198,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,3.487387340687352e-198
V1->HVA,0.6241964117490509,0.062451468374129786,inf,0.5017937829541144,0.7465990405439875,9.994903690809315,1.6044312152991733e-23,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,1.6044312152991733e-23
HVA->V1,0.427981963443529,0.031096941312932495,inf,0.3670330784408256,0.4889308484462324,13.762831499622159,4.264901758090934e-43,IN_VIVO_SIG_CORR,LD_DENSITY_CONTROL,5.6865356774545794e-43
