proj_hva,readout_location_distance_sta.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,-0.04625648255356643,0.000586001349237658,inf,-0.04740502409296412,-0.04510794101416874,-78.93579530788197,0.0,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.0
HVA->HVA,-0.03447039580232721,0.0003661326166106553,inf,-0.03518800254444951,-0.033752789060204916,-94.14729592087384,0.0,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,0.0
V1->HVA,-0.016185939202860374,0.0009943980113368345,inf,-0.01813492349137882,-0.014236954914341926,-16.277123463974505,1.4345553588264072e-59,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.9127404784352097e-59
HVA->V1,-0.006996052823839278,0.0006192080573811134,inf,-0.00820967831524327,-0.005782427332435285,-11.298387901198305,1.3364887056078974e-29,READOUT_LOCATION_DISTANCE_STA,LD_DENSITY_CONTROL,1.3364887056078974e-29
