variable_name,quantity_name,proj_hva,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,V1->V1,36,1719,6237,0,2744,2411,2744,77240,0,2439.8282211005003,77240
READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,HVA->HVA,99,1396,2635,0,2803,2543,2803,92154,0,3276.1750785774,92154
READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,V1->HVA,29,448,2525,0,584,515,584,14641,0,373.5872248511,14641
READOUT_LOCATION_DISTANCE_STA,SYNAPSE_DENSITY,HVA->V1,90,974,6148,0,1255,1139,1255,48950,0,988.9335749142999,48950
