variable_name,quantity_name,proj_hva,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1->V1,23,655,3136,0,1034,866,1034,24321,0,803.1286931891,24321
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVA->HVA,42,321,996,0,481,443,481,16086,0,600.156158133,16086
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,V1->HVA,15,129,921,0,168,143,168,3652,0,104.6755348089,3652
DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,HVA->V1,37,303,3001,0,366,330,366,13261,0,290.99937439300004,13261
