proj_hva,readout_similarity_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,2.2158656048567376,0.17704508238480204,inf,1.868863619742599,2.5628675899708764,12.515826901312186,6.116753468027763e-36,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,2.4467013872111053e-35
HVA->HVA,1.3979141350355677,0.18598967345569822,inf,1.033381073566034,1.7624471965051014,7.516084678585898,5.6441004489992766e-14,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,1.1288200897998553e-13
V1->HVA,1.754036387718287,0.449429630958342,inf,0.8731704974548091,2.634902277981765,3.902805393534166,9.508415127116257e-05,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,9.508415127116257e-05
HVA->V1,1.9477951222072083,0.286825457692866,inf,1.385627555279974,2.5099626891344426,6.7908725322872705,1.1145737229611177e-11,READOUT_SIMILARITY_CVT,SYNAPSE_DENSITY,1.4860982972814903e-11
