bins,mean,std,ci_low,ci_high,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs,proj_hva,quantity_name,variable_name
"(-0.4, -0.3]",0.07163983334218826,1.4912388544106365,-2.252612433207164,3.43237162809455,6.0,2.0,38.0,0.0,2.0,2.0,2.0,40.0,0.0,0.88800507,40.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-0.3, -0.2]",-0.29104940768453674,0.36462654946895967,-0.9227231115035678,0.4678729926301778,24.0,18.0,450.0,0.0,21.0,18.0,21.0,593.0,0.0,14.3694311626,593.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-0.2, -0.1]",-0.12843267165849598,0.13737841013451038,-0.4076196418803855,0.14040170022517434,29.0,117.0,1875.0,0.0,140.0,123.0,140.0,3741.0,0.0,95.54679737699999,3741.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-0.1, -2.22e-16]",-0.17380452294976792,0.10672805108285996,-0.3739565598784548,0.0322788660321865,29.0,168.0,2317.0,0.0,196.0,175.0,196.0,5532.0,0.0,141.8703191365,5532.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-2.22e-16, 0.1]",0.049344609883455424,0.1446245987660492,-0.22520915888059273,0.352420353470268,29.0,121.0,1822.0,0.0,140.0,125.0,140.0,3417.0,0.0,86.935078648,3417.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.1, 0.2]",0.16776781845364822,0.20483372522534365,-0.20588687755834778,0.5882365075346352,29.0,69.0,1139.0,0.0,78.0,71.0,78.0,1715.0,0.0,44.698867873,1715.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.2, 0.3]",0.489731476981111,0.3136237526892688,-0.050936420201274576,1.140319083141488,26.0,44.0,661.0,0.0,50.0,44.0,50.0,889.0,0.0,23.830929424,889.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.3, 0.4]",1.2166520654734196,0.5694752726653525,0.17873967345540528,2.398888566302092,27.0,25.0,358.0,0.0,31.0,26.0,31.0,449.0,0.0,10.845062438,449.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.4, 0.5]",0.37986676842474987,0.6644369573213531,-0.845520162519005,1.8088120945210084,25.0,11.0,195.0,0.0,13.0,11.0,13.0,237.0,0.0,6.017090537999999,237.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.5, 0.6]",0.2811701823516593,1.0008684340415974,-1.3949383393119252,2.4316312621252596,20.0,4.0,77.0,0.0,5.0,4.0,5.0,97.0,0.0,2.6709608440000006,97.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.6, 0.7]",0.06965471700160328,1.340488330514824,-1.9596510136107483,3.0155533916727197,15.0,2.0,34.0,0.0,2.0,2.0,2.0,40.0,0.0,1.07014581,40.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.7, 0.8]",2.9433214691438745,6.569021085277303,-1.8558532035951905,21.750249409655485,5.0,1.0,10.0,0.0,1.0,1.0,1.0,11.0,0.0,0.31850469000000003,11.0,V1->HVA,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-0.4, -0.3]",-1.3445942082510156,0.05901740871744666,-1.457872670953999,-1.2382274567174365,23.0,0.0,93.0,0.0,0.0,0.0,0.0,109.0,0.0,1.8036967360000002,109.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-0.3, -0.2]",-0.014745357380937345,0.19388336193037217,-0.3627573220824384,0.3877175160727234,85.0,46.0,1263.0,0.0,50.0,46.0,50.0,2180.0,0.0,40.0281498354,2180.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-0.2, -0.1]",-0.29906183938756004,0.06729732275890044,-0.42993676192328,-0.15911830075011626,93.0,211.0,4711.0,0.0,242.0,220.0,242.0,12816.0,0.0,248.419137841,12816.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-0.1, -2.22e-16]",-0.056410341563388235,0.06083149757795789,-0.1715659407163498,0.07219045955720767,93.0,375.0,5690.0,0.0,434.0,400.0,434.0,17857.0,0.0,361.5240991172,17857.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-2.22e-16, 0.1]",0.12639468799527306,0.07868815831795478,-0.015414617891732582,0.270400773063416,93.0,291.0,4804.0,0.0,333.0,305.0,333.0,11709.0,0.0,241.20037791880003,11709.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.1, 0.2]",0.14865184153198552,0.11111948475070409,-0.0595277970375532,0.36528666249208375,93.0,159.0,3250.0,0.0,181.0,164.0,181.0,6214.0,0.0,129.8243069129,6214.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.2, 0.3]",0.48756596317748835,0.19357754839866279,0.13068544665252893,0.864867066330954,93.0,96.0,1933.0,0.0,116.0,98.0,116.0,3084.0,0.0,65.574083817,3084.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.3, 0.4]",0.2531333195114007,0.22439372242690234,-0.17458492485559418,0.7246563115318743,91.0,44.0,1119.0,0.0,49.0,45.0,49.0,1531.0,0.0,31.773139393999998,1531.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.4, 0.5]",0.8089375517814847,0.37315608190935906,0.10348717460326061,1.529488090006249,82.0,30.0,549.0,0.0,33.0,30.0,33.0,689.0,0.0,15.452123382,689.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.5, 0.6]",-0.49264241232054773,0.31270337667281517,-1.0395918785143599,0.18915507197671425,60.0,5.0,251.0,0.0,5.0,5.0,5.0,289.0,0.0,7.159552338000001,289.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.6, 0.7]",-0.29571909794654594,0.6422719184719369,-1.2281636864949852,1.0880959960119072,34.0,2.0,101.0,0.0,2.0,2.0,2.0,105.0,0.0,2.2656154,105.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(0.7, 0.8]",-1.3764984110346865,0.10003944229481315,-1.5823751293704338,-1.1956335405513872,18.0,0.0,39.0,0.0,0.0,0.0,0.0,40.0,0.0,0.869660475,40.0,HVA->V1,SYNAPSE_DENSITY,IN_VIVO_SIG_CORR
"(-60.058, -30.029]",0.1157658776333729,0.14126512428709967,-0.14663042045473007,0.4066226280921772,23.0,121.0,1778.0,0.0,164.0,129.0,164.0,3507.0,0.0,115.313917267,3507.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(-30.029, 0.0]",0.02382762816908506,0.07286981041493276,-0.11321663967874392,0.16508997126820626,23.0,310.0,2230.0,0.0,453.0,376.0,453.0,9857.0,0.0,346.1151103639,9857.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(0.0, 30.029]",-0.07163554914189221,0.08719778292222383,-0.23948560998240045,0.09793793823807076,23.0,196.0,2488.0,0.0,252.0,217.0,252.0,6275.0,0.0,203.946324832,6275.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(30.029, 60.058]",-0.06326077415230968,0.11074261105243749,-0.2708711402809194,0.16157701155094933,23.0,129.0,1500.0,0.0,165.0,144.0,165.0,4682.0,0.0,137.7533407262,4682.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(-60.058, -30.029]",0.07213367804138629,0.08847487776606554,-0.09996055697362201,0.2597367348341386,42.0,99.0,887.0,0.0,130.0,118.0,130.0,3754.0,0.0,141.262955898,3754.0,HVA->HVA,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(-30.029, 0.0]",0.009520414329239838,0.0728140684157188,-0.12614292851232994,0.15395921808838053,42.0,117.0,923.0,0.0,129.0,121.0,129.0,4251.0,0.0,160.87969284999997,4251.0,HVA->HVA,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(0.0, 30.029]",-0.04137501768817943,0.06817858769457498,-0.17635034061960062,0.098174413940158,42.0,97.0,940.0,0.0,116.0,108.0,116.0,4366.0,0.0,163.209757438,4366.0,HVA->HVA,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(30.029, 60.058]",-0.04217879788633374,0.08686956267028124,-0.200677462185626,0.13500027833054726,42.0,84.0,877.0,0.0,106.0,96.0,106.0,3715.0,0.0,134.803751947,3715.0,HVA->HVA,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(-60.058, -30.029]",0.30409288224003433,0.3833915004069053,-0.38452894762471723,1.0979299252774606,15.0,32.0,408.0,0.0,42.0,32.0,42.0,724.0,0.0,20.690647914,724.0,V1->HVA,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(-30.029, 0.0]",0.030188601249902816,0.22911154709313156,-0.39464443626527684,0.48405938375518515,15.0,45.0,531.0,0.0,56.0,48.0,56.0,1182.0,0.0,35.8511193799,1182.0,V1->HVA,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(0.0, 30.029]",-0.27699670304861235,0.21367058942583675,-0.6854872285547324,0.1465388769049857,15.0,30.0,541.0,0.0,33.0,31.0,33.0,952.0,0.0,27.015610015,952.0,V1->HVA,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(30.029, 60.058]",-0.0007791037584274334,0.3124897383614104,-0.6046406342288615,0.6085197186231072,15.0,30.0,397.0,0.0,37.0,32.0,37.0,794.0,0.0,21.1181575,794.0,V1->HVA,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(-60.058, -30.029]",0.15571606025599907,0.19047996470406026,-0.18528645103447547,0.548954200281031,34.0,60.0,1351.0,0.0,70.0,61.0,70.0,2241.0,0.0,48.843053802,2241.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(-30.029, 0.0]",0.022995731824507173,0.12249993602274005,-0.20851333613398743,0.2637692949734562,37.0,102.0,1929.0,0.0,120.0,106.0,120.0,4427.0,0.0,96.16489446,4427.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(0.0, 30.029]",-0.050658141716654906,0.12087091201101863,-0.2781862685332069,0.19396889473785994,37.0,108.0,2201.0,0.0,123.0,115.0,123.0,4372.0,0.0,97.389113054,4372.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(30.029, 60.058]",-0.09989720493576099,0.16071027473795926,-0.3935242328516727,0.2559780395181195,36.0,48.0,1288.0,0.0,53.0,48.0,53.0,2213.0,0.0,48.427052197,2213.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_CVT_MONET_FULL
"(-83.096, -55.398]",-0.4394817952722409,4.2260708322841487e-17,-0.439481795272241,-0.43948179527224085,1.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.20170862,6.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-55.398, -27.699]",0.047722332824460145,0.07482435192592071,-0.09220769101813711,0.19044430689006225,28.0,256.0,3321.0,0.0,325.0,273.0,325.0,8434.0,0.0,273.1422225096,8434.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-27.699, 0.0]",0.0013624132583269098,0.05256980406426406,-0.10204753306120275,0.10501976949446232,28.0,444.0,3547.0,0.0,602.0,524.0,602.0,15541.0,0.0,525.5921890839,15541.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(0.0, 27.699]",0.023217369979840183,0.060861096463473895,-0.09242531284156975,0.13724836513826968,28.0,344.0,3763.0,0.0,415.0,375.0,415.0,11457.0,0.0,361.8890779004,11457.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(27.699, 55.398]",-0.07751445621711527,0.06816179395837839,-0.2020097126522028,0.0691413987390415,28.0,237.0,2769.0,0.0,302.0,274.0,302.0,9404.0,0.0,281.3326442865,9404.0,V1->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-55.398, -27.699]",-0.021080005512107057,0.04886647631005338,-0.11086705803086437,0.08170791081585933,79.0,235.0,1757.0,0.0,298.0,277.0,298.0,10444.0,0.0,369.0515229198,10444.0,HVA->HVA,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-27.699, 0.0]",0.009793373624010938,0.04203417365681435,-0.07126997589554708,0.09043636096664887,79.0,364.0,1847.0,0.0,469.0,431.0,469.0,16585.0,0.0,566.2794877261999,16585.0,HVA->HVA,SYNAPSE_DENSITY,DELTA_ORI_IV
"(0.0, 27.699]",-0.02280990000216143,0.0384143659879241,-0.10097817866453769,0.052051752903959685,79.0,357.0,1843.0,0.0,460.0,422.0,460.0,16220.0,0.0,580.5261399893,16220.0,HVA->HVA,SYNAPSE_DENSITY,DELTA_ORI_IV
"(27.699, 55.398]",0.0394564074299649,0.050829670340628436,-0.053887043952291026,0.1411418608298304,79.0,245.0,1803.0,0.0,312.0,281.0,312.0,10650.0,0.0,366.3500667725,10650.0,HVA->HVA,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-55.398, -27.699]",0.33857933911635835,0.2249207366756132,-0.09475326735018846,0.7937734412741554,20.0,75.0,728.0,0.0,95.0,77.0,95.0,1873.0,0.0,51.740726236,1873.0,V1->HVA,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-27.699, 0.0]",-0.23301115358602398,0.13847963026753546,-0.4891278737375461,0.043426796741210305,20.0,73.0,1086.0,0.0,86.0,76.0,86.0,2548.0,0.0,71.5114474814,2548.0,V1->HVA,SYNAPSE_DENSITY,DELTA_ORI_IV
"(0.0, 27.699]",0.081757927866752,0.1483912135883684,-0.1959804291360534,0.378478686180232,20.0,97.0,1196.0,0.0,115.0,102.0,115.0,2852.0,0.0,75.9162671536,2852.0,V1->HVA,SYNAPSE_DENSITY,DELTA_ORI_IV
"(27.699, 55.398]",-0.17099068725321176,0.18672663964931077,-0.516560979860258,0.20129264601198782,20.0,52.0,822.0,0.0,64.0,55.0,64.0,1810.0,0.0,46.805210337,1810.0,V1->HVA,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-83.096, -55.398]",0.5012779700710426,3.0964755172479146,-3.7074884019505783,5.535754178771324,2.0,1.0,14.0,0.0,2.0,1.0,2.0,15.0,0.0,0.45775456999999997,15.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-55.398, -27.699]",0.17949384093320067,0.11305046669468954,-0.024285477125170936,0.4089746054625869,65.0,166.0,3026.0,0.0,192.0,174.0,192.0,6269.0,0.0,128.190155938,6269.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-27.699, 0.0]",0.011976778160780868,0.08312164659421398,-0.14022796296303988,0.17448673391340092,66.0,226.0,3747.0,0.0,265.0,235.0,265.0,9906.0,0.0,207.8955317754,9906.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(0.0, 27.699]",-0.07379016188758644,0.08029864881496565,-0.22875142461472178,0.08863569359138257,66.0,259.0,3675.0,0.0,287.0,274.0,287.0,10485.0,0.0,218.4800804996,10485.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(27.699, 55.398]",-0.0833954787395436,0.10432205032476054,-0.27931369313572185,0.1267784869926085,66.0,130.0,3030.0,0.0,145.0,136.0,145.0,6096.0,0.0,122.5196230852,6096.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(55.398, 83.096]",-1.1259510546751572,0.27986211935834904,-1.756683949270665,-0.6884232022082984,4.0,0.0,15.0,0.0,0.0,0.0,0.0,18.0,0.0,0.3304145,18.0,HVA->V1,SYNAPSE_DENSITY,DELTA_ORI_IV
"(-20.914, -10.457]",-0.055040100098557844,0.12345526540211081,-0.28741600845052173,0.1890526585482408,28.0,89.0,1796.0,0.0,100.0,89.0,100.0,2827.0,0.0,90.6834444596,2827.0,V1->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-10.457, 0.0]",0.016787273724081217,0.031339926580748974,-0.043124475770933764,0.07876933591101347,36.0,1049.0,5053.0,0.0,1617.0,1414.0,1617.0,40588.0,0.0,1423.2566826034,40588.0,V1->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(0.0, 10.457]",-0.029089403208907978,0.04356877347573918,-0.11409862652902801,0.058728359185649115,36.0,646.0,5306.0,0.0,841.0,737.0,841.0,26932.0,0.0,765.2691583981,26932.0,V1->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(10.457, 20.914]",0.027493552058250655,0.09879477847909561,-0.1503168956797015,0.23196769121762326,36.0,131.0,1555.0,0.0,166.0,151.0,166.0,5970.0,0.0,142.1043725847,5970.0,V1->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(20.914, 31.372]",-0.05595474198519689,0.25455311024814703,-0.5126228371257312,0.5072860546652652,35.0,18.0,279.0,0.0,19.0,19.0,19.0,835.0,0.0,16.8705668697,835.0,V1->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(31.372, 41.829]",-0.6847354462115647,0.6344047837475525,-1.4920614752322712,0.8538738292858422,26.0,1.0,25.0,0.0,1.0,1.0,1.0,82.0,0.0,1.577922565,82.0,V1->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-31.372, -20.914]",0.04798565030443464,0.20038802584788337,-0.33728021971341304,0.4599822381451235,35.0,23.0,467.0,0.0,26.0,24.0,26.0,678.0,0.0,25.964047942,678.0,HVA->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-20.914, -10.457]",-0.02902279956079783,0.04274653205248396,-0.11236376430397081,0.055869545080497005,99.0,397.0,2318.0,0.0,549.0,481.0,549.0,14663.0,0.0,634.7060830402,14663.0,HVA->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-10.457, 0.0]",-0.041278139456124824,0.026886370639369172,-0.09283942290091861,0.012065919940258775,99.0,677.0,2514.0,0.0,1027.0,938.0,1027.0,33191.0,0.0,1282.6893737127,33191.0,HVA->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(0.0, 10.457]",0.03386191832718032,0.032513300773931685,-0.023505386827605744,0.10155867710035459,99.0,597.0,2580.0,0.0,796.0,727.0,796.0,28139.0,0.0,911.4871864099,28139.0,HVA->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(10.457, 20.914]",0.07955285300279824,0.053979089457070396,-0.024911008794920687,0.18639639979051356,99.0,258.0,1867.0,0.0,331.0,305.0,331.0,12767.0,0.0,350.211953296,12767.0,HVA->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(20.914, 31.372]",0.11228005323776752,0.1346891178226424,-0.13767524151886099,0.38074576049262115,94.0,60.0,558.0,0.0,68.0,62.0,68.0,2576.0,0.0,67.06860251660001,2576.0,HVA->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(31.372, 41.829]",0.565876944228177,0.628907707567177,-0.4721897485008328,1.9842753211550441,36.0,4.0,42.0,0.0,6.0,6.0,6.0,139.0,0.0,4.0275453599999995,139.0,HVA->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-31.372, -20.914]",-0.21278685805130476,1.1767388917891202,-1.559911543541956,2.617534039669202,8.0,1.0,41.0,0.0,1.0,1.0,1.0,44.0,0.0,0.82910942,44.0,V1->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-20.914, -10.457]",0.04352505185028341,0.18229984088978962,-0.2948757595857184,0.41338729637090377,29.0,70.0,866.0,0.0,88.0,77.0,88.0,2115.0,0.0,56.270581332599996,2115.0,V1->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-10.457, 0.0]",-0.05086259655435922,0.11289212230973057,-0.26967570393997065,0.169898876340171,29.0,187.0,1674.0,0.0,224.0,194.0,224.0,5509.0,0.0,148.706375296,5509.0,V1->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(0.0, 10.457]",0.09488303568004153,0.12985239327461545,-0.16298895914719175,0.34967574375808197,29.0,171.0,1762.0,0.0,204.0,181.0,204.0,4822.0,0.0,119.55980146350001,4822.0,V1->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(10.457, 20.914]",-0.0845200374496335,0.19956150111658885,-0.4604040565754387,0.308134824862591,28.0,50.0,734.0,0.0,59.0,54.0,59.0,1802.0,0.0,39.679670411000004,1802.0,V1->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(20.914, 31.372]",-0.3876836570261355,0.32638624346746037,-1.0119400674713677,0.2912506880332444,25.0,8.0,149.0,0.0,8.0,8.0,8.0,333.0,0.0,8.079930877999999,333.0,V1->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(31.372, 41.829]",-1.3785938627695464,0.14817236361419087,-1.7049329229711605,-1.1340110742060208,6.0,0.0,10.0,0.0,0.0,0.0,0.0,16.0,0.0,0.46175605,16.0,V1->HVA,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-31.372, -20.914]",1.6568614579816605,1.7929978080474274,-1.4063543228597764,5.115562061292644,19.0,2.0,33.0,0.0,2.0,2.0,2.0,45.0,0.0,0.644767851,45.0,HVA->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-20.914, -10.457]",0.3715132496263086,0.18900386421154564,0.017438330875638654,0.7654047684691582,84.0,82.0,2077.0,0.0,94.0,83.0,94.0,2973.0,0.0,58.652407424,2973.0,HVA->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-10.457, 0.0]",0.10706867983121877,0.05659177968232899,-0.006760464978162475,0.21448021715239143,90.0,560.0,5421.0,0.0,693.0,618.0,693.0,23546.0,0.0,497.88287202460003,23546.0,HVA->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(0.0, 10.457]",-0.14451222555312376,0.05838902783580178,-0.25115012059608327,-0.03076597712588126,90.0,336.0,5026.0,0.0,380.0,353.0,380.0,17705.0,0.0,344.4932630517,17705.0,HVA->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(10.457, 20.914]",-0.36354095112813894,0.11383675042469124,-0.5723158290206319,-0.11369965283693756,89.0,68.0,1481.0,0.0,72.0,69.0,72.0,4154.0,0.0,78.131842105,4154.0,HVA->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(20.914, 31.372]",0.03742000474447675,0.36650967162743936,-0.6350163220342253,0.7792836471661844,73.0,9.0,224.0,0.0,12.0,12.0,12.0,494.0,0.0,8.602800748,494.0,HVA->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(31.372, 41.829]",2.534481960748426,2.3239574377593857,-1.342836529822441,7.474898311872118,18.0,2.0,16.0,0.0,2.0,2.0,2.0,31.0,0.0,0.51232267,31.0,HVA->V1,SYNAPSE_DENSITY,READOUT_LOCATION_DISTANCE_STA
"(-0.4, -0.3]",0.0015232068163420819,0.0024695245561394165,-0.00265668754662031,0.007150816138963211,9.0,0.0,12.0,24.0,0.0,0.0,0.0,12.0,25.0,0.26614171,37.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(-0.3, -0.2]",-0.0009964907127209524,0.0003758974809257418,-0.0017373957591787432,-0.0002212187247245505,27.0,0.0,427.0,975.0,0.0,0.0,0.0,570.0,1518.0,14.618619741,2088.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(-0.2, -0.1]",-0.000981148888651227,0.00011005512158510626,-0.0012042807385490787,-0.0007641445983893655,36.0,0.0,3624.0,6031.0,0.0,0.0,0.0,8358.0,22716.0,235.3529223335,31074.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(-0.1, -2.22e-16]",-0.0005744621966375908,6.15141529442586e-05,-0.0006954042069873417,-0.0004559205204403637,36.0,0.0,5939.0,7294.0,0.0,0.0,0.0,31843.0,82271.0,943.3240357952001,114114.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(-2.22e-16, 0.1]",0.00029409129891660795,8.169208031107869e-05,0.00012879859112913653,0.00044728701039544827,36.0,0.0,5575.0,7251.0,0.0,0.0,0.0,22037.0,53619.0,704.0084187168,75656.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(0.1, 0.2]",0.0015132953055037007,0.0001444219879608167,0.0012280320960995615,0.0017981893930356509,36.0,0.0,3884.0,6370.0,0.0,0.0,0.0,8136.0,18497.0,268.080820304,26633.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(0.2, 0.3]",0.0025337841416671206,0.0002843022786739597,0.0019823667637771185,0.0031015061880801283,36.0,0.0,1938.0,3519.0,0.0,0.0,0.0,2662.0,5310.0,86.81183069600002,7972.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(0.3, 0.4]",0.004705364215254029,0.0005505261801142709,0.0036453599566766475,0.005831509480807506,36.0,0.0,754.0,1184.0,0.0,0.0,0.0,862.0,1373.0,29.303881423999997,2235.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(0.4, 0.5]",0.005738402669432629,0.0011609650616284549,0.0035153534460671543,0.008099093617323685,34.0,0.0,245.0,330.0,0.0,0.0,0.0,256.0,350.0,8.43668595,606.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(0.5, 0.6]",0.006162200444127647,0.0023900094619973772,0.0018295480004517578,0.011225316737720897,24.0,0.0,73.0,98.0,0.0,0.0,0.0,73.0,104.0,2.61078408,177.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(0.6, 0.7]",0.0016615152800495895,0.003368259950061957,-0.004405188247201112,0.008378988077346388,11.0,0.0,17.0,20.0,0.0,0.0,0.0,17.0,20.0,0.40685047,37.0,V1->V1,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(-0.5, -0.4]",-0.0032732990033185983,0.0006981097229168253,-0.004532643125732767,-0.0017664483262501923,31.0,0.0,20.0,70.0,0.0,0.0,0.0,24.0,196.0,0.52635684,220.0,HVA->HVA,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(-0.4, -0.3]",-0.003295760064375547,0.00029355836818144705,-0.0038501904668523427,-0.0027071816014072165,68.0,0.0,163.0,372.0,0.0,0.0,0.0,378.0,1817.0,9.234778243000001,2195.0,HVA->HVA,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
"(-0.3, -0.2]",-0.002229549107780289,0.000168809172090235,-0.002554155030870607,-0.0019117813875367132,100.0,0.0,737.0,1226.0,0.0,0.0,0.0,2642.0,9566.0,76.17750683,12208.0,HVA->HVA,LD_DENSITY_CONTROL,IN_SILICO_SIG_CORR_CVT
