proj_hva,in_silico_sig_corr_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,1.1248086434757796,0.04169166033064884,inf,1.0430944907720305,1.2065227961795286,26.979224011592017,2.5912053025393283e-160,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,5.182410605078657e-160
HVA->HVA,1.1087077202418443,0.03108027065316449,inf,1.0477915091318848,1.1696239313518038,35.67239592648011,1.059489789010752e-278,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,4.237959156043008e-278
V1->HVA,1.1009997837843697,0.10662101425613518,inf,0.8920264358472131,1.3099731317215262,10.32629253684872,5.3592078915251415e-25,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,5.3592078915251415e-25
HVA->V1,0.8715440767467157,0.04524534427087262,inf,0.7828648315076897,0.9602233219857418,19.262624493008566,1.1062670033505703e-82,IN_SILICO_SIG_CORR_CVT,LD_DENSITY_CONTROL,1.4750226711340938e-82
