proj_hva,delta_ori_iv.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,-0.0021845087929566586,0.00020895583798946485,inf,-0.002594054709775396,-0.001774962876137921,-10.454404212754262,1.3987510493417304e-25,DELTA_ORI_IV,LD_DENSITY_CONTROL,5.595004197366921e-25
HVA->HVA,-0.0007742141461664944,0.00019126370112883652,inf,-0.0011490841119288467,-0.0003993441804041421,-4.047888551759116,5.1681742799255497e-05,DELTA_ORI_IV,LD_DENSITY_CONTROL,6.890899039900732e-05
V1->HVA,-0.002607897396336355,0.0004799598316745782,inf,-0.003548601380444435,-0.0016671934122282751,-5.433574278992078,5.523627473099424e-08,DELTA_ORI_IV,LD_DENSITY_CONTROL,1.1047254946198848e-07
HVA->V1,0.0007089612247839711,0.00023485455829793007,inf,0.00024865474891496575,0.0011692677006529765,3.018724566906648,0.002538411947353856,DELTA_ORI_IV,LD_DENSITY_CONTROL,0.002538411947353856
