variable_name,quantity_name,proj_hva,n_pre,n_post,n_adp,n_same_region,n_syn,n_pre_post_pairs,n_synapses,n_pre_adp_pairs,n_pre_same_region_pairs,dend_len,n_pairs
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1->V1,28,0,4737,5541,0,0,0,43396,110426,1351.6705724004,153822
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVA->HVA,79,0,1898,2212,0,0,0,52491,120935,1777.2438484977995,173426
DELTA_ORI_IV,LD_DENSITY_CONTROL,V1->HVA,20,0,1829,2212,0,0,0,8773,35175,229.40441229799998,43948
DELTA_ORI_IV,LD_DENSITY_CONTROL,HVA->V1,66,0,4655,5541,0,0,0,31969,333009,643.5168748382,364978
