proj_hva,delta_ori_cvt_monet_full.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,-0.003009800827598357,0.0011337608417779242,inf,-0.005231931244564903,-0.0007876704106318114,-2.6547052223804912,0.00793777396454994,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.03175109585819976
HVA->HVA,-0.0017949757180125787,0.0015262870618774418,inf,-0.004786443389361821,0.0011964919533366633,-1.1760407087541125,0.23957860903585254,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.23957860903585254
V1->HVA,-0.0036331067682384196,0.0027413416711731275,inf,-0.009006037713056591,0.0017398241765797526,-1.3253024263420878,0.1850708645686654,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.23957860903585254
HVA->V1,-0.002820150926858208,0.0018717682073377052,inf,-0.006488749200647209,0.000848447346930794,-1.5066774378380041,0.1318933574883448,DELTA_ORI_CVT_MONET_FULL,SYNAPSE_DENSITY,0.23957860903585254
