contrast,coef_diff,z,p,variable_name,quantity_name,p_adj
(V1->V1) - (HVA->HVA),-0.04792780127284342,-36.03547755988835,2.3286321211406646e-284,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,3.492948181710997e-284
(V1->V1) - (V1->HVA),-0.10540974764858214,-46.16867988859259,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
(V1->V1) - (HVA->V1),-0.10055038219461442,-63.89725121524179,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
(HVA->HVA) - (V1->HVA),-0.05748194637573872,-26.451042858105613,3.549330675843996e-154,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,4.259196811012795e-154
(HVA->HVA) - (HVA->V1),-0.052622580921771,-37.33937317056605,3.7716150819260045e-305,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,7.543230163852009e-305
(V1->HVA) - (HVA->V1),0.004859365453967722,2.0854686518410395,0.03702678082349473,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.03702678082349473
