proj_hva,readout_location_distance_cvt.trend,std.error,df,coef_ci_low,coef_ci_high,z,p,variable_name,quantity_name,p_adj
V1->V1,-0.12745779719356173,0.0010628158324686677,inf,-0.12954087794739927,-0.1253747164397242,-119.92463162456629,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
HVA->HVA,-0.0795299959207183,0.0007996205437564624,inf,-0.0810972233877793,-0.0779627684536573,-99.45967064215458,0.0,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,0.0
V1->HVA,-0.022048049544979582,0.002020659716001209,inf,-0.026008469813352884,-0.01808762927660628,-10.911312464135051,1.017762242761071e-27,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,1.017762242761071e-27
HVA->V1,-0.026907414998947304,0.0011604478447163262,inf,-0.02918185098052843,-0.024632979017366177,-23.18709550063827,6.14530597885906e-119,READOUT_LOCATION_DISTANCE_CVT,LD_DENSITY_CONTROL,8.193741305145413e-119
